sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
0,0,-0.6118164,-0.11352539,0.7692871,987.4962,974.44275,5.328244,0.12158203,-0.22216797,0.9758301,1000.38165,997.0229,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-0.6398926,-0.12182617,0.76904297,987.52673,974.4275,5.3435116,0.10546875,-0.20336914,0.9296875,1000.30536,996.9466,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,-0.6398926,-0.12182617,0.76904297,987.52673,974.4275,5.3435116,0.07910156,-0.23413086,0.9423828,1000.1985,996.80914,994.9771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,-0.6245117,-0.1394043,0.77856445,987.4351,974.1985,5.29771,0.11645508,-0.25341797,0.96435547,1000.15265,996.7939,994.9924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,-0.6340332,-0.14282227,0.78222656,987.374,974.16797,5.29771,0.088378906,-0.22436523,0.9836426,1000.0611,996.7786,994.9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,-0.6599121,-0.12158203,0.74975586,987.46564,974.1832,5.29771,0.10620117,-0.21606445,0.9572754,1000.0,996.76337,994.9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,-0.70532227,-0.18383789,0.74365234,987.5115,974.1985,5.3129773,0.08691406,-0.19750977,0.9614258,1000.0305,996.7176,994.96185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13,-0.64038086,-0.12060547,0.8388672,987.542,974.229,5.3129773,0.12670898,-0.23632812,0.95214844,1000.0,996.7481,994.9924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15,-0.6455078,-0.16894531,0.7602539,987.52673,974.3664,5.3435116,0.092285156,-0.22045898,0.9733887,999.9542,996.7481,995.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17,-0.65771484,-0.12402344,0.74853516,987.4351,974.44275,5.3435116,0.09814453,-0.24707031,0.96118164,999.98474,996.7176,995.03815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
